Name,Potential,Value,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Composure,Marking
H. Lloris,88,36000,187.96,181,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,65,29
G. Higuaín,88,57000,185.42,196,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,86,35
Thiago Silva,88,24000,182.88,181,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,81,88
S. Handanovič,88,30000,193.04,203,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,69,25
G. Buffon,88,4000,193.04,203,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,70,13
S. Umtiti,92,57000,182.88,165,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,82,90
M. Icardi,90,64500,180.34,165,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,85,45
K. Koulibaly,90,51000,187.96,196,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,78,91
P. Pogba,91,64000,193.04,185,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,66
K. Navas,87,30500,185.42,176,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,67,28
R. Lukaku,89,62500,190.5,207,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,83,30
C. Immobile,87,52000,185.42,187,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,81,34
Jordi Alba,87,38000,170.18,150,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,79,72
D. Mertens,87,45000,170.18,134,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,81,25
J. Vertonghen,87,34000,187.96,190,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,83,90
M. Hamšík,87,46500,182.88,174,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,84,75
I. Rakitić,87,46500,182.88,172,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,81,72
Piqué,87,34000,193.04,187,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,86,91
L. Sané,92,61000,182.88,165,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,78,36
Bernardo Silva,91,59500,172.72,141,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,85,49
Ederson,90,41500,187.96,190,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,70,28
S. Mané,87,52000,175.26,152,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,80,42
V. van Dijk,88,44500,193.04,203,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,83,88
R. Sterling,89,56500,170.18,152,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,47
Roberto Firmino,87,53000,180.34,168,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,87,60
R. Varane,91,50000,190.5,179,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,82,87
M. Verratti,89,55000,165.1,132,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,93,78
Alex Sandro,86,36500,180.34,176,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,82,81
Douglas Costa,86,46500,172.72,154,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,45
T. Müller,86,45000,185.42,165,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,83,44
Thiago,86,45500,175.26,154,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,85,67
M. Reus,86,43500,180.34,157,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,84,47
Azpilicueta,86,35000,177.8,168,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,78,88
L. Bonucci,86,30000,190.5,187,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,86,90
T. Alderweireld,87,39000,185.42,179,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,81,90
M. Pjanić,86,44000,177.8,159,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,86,75
M. Benatia,86,30000,187.96,207,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,82,89
M. Özil,86,43500,180.34,168,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,82,24
Fernandinho,86,18000,177.8,148,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,79,85
Iniesta,86,21500,170.18,150,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,89,67
M. Škriniar,92,46500,187.96,176,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,80,92
S. Milinković-Savić,90,50500,190.5,168,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,82,75
Marco Asensio,92,54000,182.88,168,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,83,40
N. Fekir,89,50000,172.72,165,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,89,31
Alisson,90,36500,190.5,201,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,65,15
J. Kimmich,88,40500,175.26,154,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,82,75
Saúl,90,50500,182.88,170,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,83,77
R. Mahrez,85,40500,177.8,148,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,86,45
D. Alaba,87,38000,180.34,168,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,79,80
Koke,86,45000,175.26,163,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,78,80
A. Lacazette,86,45000,175.26,161,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,85,29
K. Manolas,87,37500,187.96,183,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,79,86
N. Otamendi,85,28500,182.88,179,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,80,83
Parejo,85,37000,182.88,163,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,78,69
Paulinho,85,37000,182.88,157,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,80,75
W. Szczęsny,87,32000,195.58,198,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,65,20
A. Sánchez,85,37500,170.18,163,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,84,38
Y. Brahimi,85,39000,175.26,146,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,90,51
J. Boateng,85,30000,193.04,198,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,84,84
A. Vidal,85,26000,180.34,165,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,81,82
I. Perišić,85,37500,185.42,176,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,80,64
E. Džeko,85,30500,193.04,185,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,83,58
S. Khedira,85,33000,187.96,198,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,84,80
Diego Costa,85,38500,187.96,190,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,83,58
R. Nainggolan,85,35500,175.26,170,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,84,83
Naldo,85,9000,198.12,201,45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,84,86
B. Matuidi,85,26000,180.34,165,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,82,85
Miranda,85,15500,185.42,172,48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,81,90
K. Benzema,85,37000,185.42,179,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,79,47
Filipe Luís,85,21500,182.88,163,86,59,72,80,56,77,74,75,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,88,78
V. Kompany,85,22000,190.5,187,61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,81,87
Pepe,85,9000,187.96,179,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,79,86
D. Sánchez,88,34000,187.96,174,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,75,84
J. Giménez,88,34000,185.42,176,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,92,67,85,48,89,85,24,73,88
Alex Telles,87,32000,180.34,157,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,80,80
A. Laporte,88,34000,187.96,187,58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,77,85
Bruno Fernandes,88,40500,177.8,152,84,73,58,85,84,83,85,81,82,85,79,76,77,84,78,87,72,89,67,88,65,70,79,83,63
N. Süle,90,36500,195.58,214,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,72,82
A. Martial,90,42500,182.88,168,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,79,38
D. Alli,90,42500,187.96,176,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,86,70
Fabinho,88,34000,187.96,172,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,84,83
Marquinhos,89,35500,182.88,165,72,33,80,81,31,59,49,32,78,76,73,76,69,81,68,53,86,75,74,35,80,84,46,79,85
William Carvalho,86,31500,187.96,183,68,52,73,84,50,80,79,50,86,79,49,53,51,75,51,59,69,84,90,55,75,84,64,89,84
Jorginho,87,38000,180.34,148,75,57,56,89,71,82,75,76,87,85,75,69,80,83,73,71,58,79,66,62,79,78,72,79,63
F. Thauvin,87,39000,177.8,154,83,81,75,83,74,85,86,72,76,86,87,80,86,83,71,83,76,83,66,82,56,42,83,82,46
Carvajal,87,31500,172.72,161,83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,77,83
M. Depay,89,42000,175.26,172,79,79,65,80,74,85,85,88,74,85,87,87,82,79,79,87,74,79,80,81,76,28,83,79,29
H. Son,85,37000,182.88,143,78,85,65,79,79,88,81,70,64,85,88,87,82,84,76,86,63,85,63,88,60,39,85,82,48
A. Lopes,86,25000,182.88,179,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,20,82,36,73,18,43,25,9,65,13
S. de Vrij,86,31500,187.96,172,49,25,80,71,27,63,45,16,71,71,67,69,61,80,59,65,76,66,80,60,78,87,32,82,88
M. Perin,89,29500,187.96,170,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,65,20
J. Cuadrado,84,29500,177.8,159,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,80,63
Iago Aspas,84,30000,175.26,148,80,88,78,79,83,86,80,76,64,85,85,78,87,85,74,79,68,75,60,82,63,39,86,85,39
B. Leno,87,27000,190.5,183,9,9,13,45,10,16,9,8,40,22,46,52,52,80,44,23,73,43,68,14,28,22,7,66,27
N. Matić,84,24000,193.04,187,71,64,74,84,73,80,72,67,83,79,52,59,44,83,50,83,67,84,85,75,80,86,69,84,83
L. Hrádecký,84,22000,193.04,187,11,11,11,15,9,10,11,15,20,20,38,44,43,83,39,14,69,34,55,14,31,18,9,48,10
Illarramendi,84,31000,177.8,165,68,72,51,86,58,78,76,68,82,83,66,57,71,84,75,69,63,77,68,76,76,87,79,79,69
K. Walker,84,24500,182.88,154,81,51,74,78,57,79,76,71,67,78,86,93,67,83,72,86,83,89,75,69,78,81,67,75,78
I. Gündoğan,84,32000,180.34,176,74,73,50,88,75,85,81,74,83,86,67,68,78,85,78,77,61,69,72,73,70,77,79,87,73
José Callejón,84,27500,177.8,161,82,78,65,80,84,82,73,65,51,85,88,89,85,82,80,78,73,91,55,80,54,40,88,79,64
A. Di María,84,29500,180.34,152,83,72,51,82,77,86,84,82,79,85,85,84,92,80,77,83,72,73,60,77,73,38,82,82,35
M. Mandžukić,84,25000,190.5,187,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,80,59
Willian,84,30500,175.26,172,76,77,31,80,59,88,82,83,77,84,91,86,89,82,79,79,41,85,60,81,44,55,80,79,43
Sergio Asenjo,85,24000,187.96,192,24,14,13,39,15,15,23,22,39,14,59,54,62,79,58,24,73,41,73,13,20,22,12,64,24
E. Banega,84,29000,175.26,157,80,66,49,88,65,84,83,81,87,86,68,64,79,77,83,74,57,74,67,78,73,76,75,80,75
A. Witsel,84,24000,187.96,179,69,71,80,89,77,78,69,68,79,84,67,74,78,84,60,78,76,86,82,74,82,80,75,89,80
D. Payet,84,27500,175.26,170,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,82,32
Jonas,84,16500,180.34,163,70,88,84,76,85,84,85,77,75,88,65,64,77,85,69,84,69,66,63,85,61,34,87,87,31
Sokratis,84,23000,185.42,187,47,44,85,60,46,58,29,35,51,58,64,73,60,81,64,77,86,69,86,48,88,77,49,82,85
S. Ruffier,84,19000,187.96,205,11,11,12,33,13,12,17,12,34,15,45,50,51,78,55,21,72,37,76,11,31,25,12,66,13
Falcao,84,25000,177.8,159,55,86,89,79,84,75,83,73,58,82,69,66,76,85,75,79,91,68,75,80,75,41,88,87,39
K. Schmeichel,84,19000,187.96,196,18,12,16,44,15,12,13,15,46,40,59,60,62,81,47,36,60,34,64,14,35,20,13,67,14
Raúl Albiol,84,18000,190.5,181,38,27,77,74,31,59,53,45,72,71,54,53,53,82,56,65,77,55,82,53,81,86,30,75,89
A. Gómez,84,30000,165.1,150,82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,84,50
A. Barzagli,84,4200,187.96,192,40,21,72,65,35,64,50,31,65,65,61,77,52,80,64,54,81,53,83,39,66,90,28,88,94
Quaresma,84,15500,175.26,148,92,67,41,79,80,89,94,73,75,88,84,82,91,78,84,79,63,65,55,80,74,24,78,80,29
A. Robben,84,15500,180.34,176,80,85,51,82,86,89,90,81,71,88,83,76,87,85,90,86,60,64,67,86,47,37,84,85,30
O. Dembélé,92,40000,177.8,148,78,78,43,78,76,90,78,64,70,83,93,92,90,82,85,83,59,73,46,70,54,36,79,75,42
Gabriel Jesus,92,41000,175.26,161,66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,82,53
Ronaldo Cabrais,83,28000,177.8,165,83,74,64,83,76,85,86,78,82,83,88,87,85,84,76,82,64,86,70,78,62,40,82,81,24
Josué Chiamulera,83,22500,185.42,176,40,38,83,74,44,56,45,49,61,70,83,78,77,85,68,53,69,76,73,41,88,84,38,71,85
Louri Beretta,83,28500,187.96,183,56,85,83,73,82,75,59,67,47,74,79,83,55,84,55,85,84,56,87,82,65,32,83,79,26
P. Kimpembe,89,30500,187.96,176,62,31,79,79,33,58,50,32,75,78,75,78,74,79,65,55,77,80,84,39,85,83,39,80,80
N. Keïta,88,34000,172.72,141,62,74,42,88,71,88,64,70,78,88,78,60,89,82,90,76,53,82,58,73,78,75,74,79,68
C. Tolisso,88,34000,180.34,179,67,75,82,84,62,77,66,73,86,81,75,66,75,83,74,82,90,87,77,81,81,76,79,74,75
T. Lemar,89,35500,170.18,137,83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,80,55
K. Coman,87,34000,177.8,157,81,76,52,77,77,88,84,70,63,83,95,93,87,81,84,77,75,76,61,73,36,23,79,75,29
J. Tah,88,29500,195.58,214,35,20,80,74,24,55,30,27,69,64,64,77,48,82,44,44,72,63,93,25,76,80,27,75,80
Anderson Talisca,90,36500,190.5,176,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,74,55
T. Werner,87,34500,180.34,165,69,87,76,77,82,83,62,56,55,84,93,93,81,86,76,74,78,83,59,67,63,37,85,74,39
A. Rabiot,87,33000,193.04,176,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,82,70
L. Goretzka,88,34000,187.96,174,75,72,75,84,68,81,76,75,79,83,84,79,76,83,70,77,67,86,70,78,80,83,77,80,70
Q. Promes,84,30500,175.26,159,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,78,36
H. Ziyech,86,32500,180.34,143,84,68,53,86,77,83,90,78,89,83,76,74,85,82,78,80,38,86,59,75,71,62,75,83,52
Lucas Vázquez,83,27000,172.72,154,86,73,52,83,54,82,82,75,75,83,84,79,79,85,84,82,68,90,57,80,65,44,81,75,42
Y. Carrasco,86,33000,180.34,161,78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,61,18,81,75,58
Gerard Moreno,85,32000,180.34,170,61,83,80,78,79,78,71,56,56,81,77,80,70,82,69,81,72,72,74,77,55,40,83,72,43
Felipe,83,20000,190.5,190,45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,92,81,34,75,85
M. Kovačić,89,35000,175.26,172,73,62,42,87,76,88,78,68,82,89,84,74,81,70,85,79,63,82,65,75,77,78,69,72,69
Kepa,91,28500,185.42,187,25,11,17,32,18,10,25,19,36,16,34,33,41,79,39,25,71,37,51,14,18,21,15,63,19
Manu Trigueros,84,30000,177.8,165,72,71,74,86,63,80,80,69,83,83,68,65,76,82,72,81,77,77,63,80,71,69,77,73,70
S. Gnabry,88,34500,175.26,165,74,81,46,79,83,87,64,62,68,83,92,90,87,80,88,85,64,68,68,81,63,38,80,74,45
J. Pickford,88,25000,185.42,170,17,19,15,55,20,14,18,16,55,40,53,44,55,83,55,31,72,45,70,13,30,24,18,69,16
S. Savić,86,26000,187.96,174,35,34,85,72,27,47,34,28,69,68,55,61,61,82,49,43,87,58,77,31,83,84,29,75,86
J. Stones,87,28500,187.96,154,62,29,83,81,27,69,47,29,74,80,67,71,61,82,59,46,75,79,77,38,79,81,48,80,85
Suso,86,33000,175.26,154,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,76,50
J. Draxler,86,32500,187.96,170,83,78,65,84,84,88,78,76,79,89,78,77,80,83,75,86,75,69,66,82,48,66,79,83,39
Felipe Anderson,85,31500,175.26,154,79,71,44,80,68,90,71,69,74,88,93,89,89,74,88,83,38,72,53,84,67,69,73,82,47
Lucas Moura,84,31000,175.26,154,75,78,50,77,70,88,69,74,74,81,94,90,94,76,90,79,77,75,59,76,72,50,80,80,31
Danilo Pereira,86,27000,187.96,183,50,61,78,82,55,76,48,53,79,78,63,68,58,76,60,76,67,83,89,65,85,84,69,84,83
Nacho Fernández,85,24500,180.34,168,70,32,82,80,38,55,55,37,61,78,70,79,60,79,68,54,81,78,79,28,78,81,37,73,75
T. Horn,87,24000,193.04,198,19,13,14,35,14,20,12,15,32,22,45,51,50,80,31,22,64,31,67,17,41,22,15,20,14
Allan,83,26500,175.26,163,70,72,59,85,56,82,65,49,77,80,81,74,82,86,80,70,70,95,77,66,87,86,79,79,85
F. Acerbi,83,19000,193.04,194,25,37,80,73,39,65,62,56,77,72,65,55,33,81,35,75,68,81,83,60,73,85,20,85,87
Sergi Roberto,86,26500,177.8,150,85,63,72,86,50,78,74,60,78,83,78,79,69,80,74,65,47,85,69,66,68,81,69,76,75
Rodrigo,84,30500,182.88,170,72,78,80,78,77,82,83,67,58,82,88,91,84,80,77,83,78,78,72,76,60,31,83,77,44
Pizzi,83,25500,177.8,159,79,76,45,83,77,80,83,76,84,82,82,73,77,81,77,75,67,86,59,78,68,70,84,85,66
K. Kampl,83,26500,177.8,148,72,63,34,84,68,86,78,75,79,84,84,71,91,84,80,69,67,88,47,73,64,75,73,83,65
Neto,84,21000,190.5,185,11,15,14,36,12,19,12,13,41,24,53,49,59,79,49,28,80,39,63,20,40,15,11,64,17
O. Baumann,84,21000,187.96,181,14,11,16,30,11,19,12,11,25,17,47,51,45,81,43,21,73,39,69,13,32,21,10,52,15
I. Gueye,83,21000,175.26,146,60,50,69,80,32,75,33,61,72,79,76,72,80,81,80,80,87,89,70,66,84,87,67,80,84
H. Mkhitaryan,83,25500,177.8,165,77,74,53,80,81,84,83,64,71,86,84,78,87,79,85,85,69,83,62,73,69,64,82,76,41
Marcos Alonso,84,24000,187.96,192,85,68,83,84,70,79,85,86,73,83,69,76,64,84,58,84,71,90,76,77,75,79,79,76,79
